date,code,description,ballColor,isStrike,isBall,eventType,ball_count,strike_count,strikeZoneTop,strikeZoneBottom,x,y,pitchNumber,pitcher_name,pitcher_id,pitch_hand,batter_name,batter_id,bat_side
2024-10-13,C,Called Strike,"rgba(170, 21, 11, 1.0)",True,False,walk,3,1,3.104,1.448,113.59,133.83,4,Jonathan Partida,674476,Left,Roel Santos,661270,Left
2024-10-13,C,Called Strike,"rgba(170, 21, 11, 1.0)",True,False,walk,3,2,3.104,1.448,122.79,147.49,5,Jonathan Partida,674476,Left,Roel Santos,661270,Left
2024-10-13,F,Foul,"rgba(170, 21, 11, 1.0)",True,False,walk,3,2,3.104,1.448,104.82,126.76,6,Jonathan Partida,674476,Left,Roel Santos,661270,Left
2024-10-13,F,Foul,"rgba(170, 21, 11, 1.0)",True,False,walk,3,2,3.104,1.448,93.42,135.24,7,Jonathan Partida,674476,Left,Roel Santos,661270,Left
2024-10-13,F,Foul,"rgba(170, 21, 11, 1.0)",True,False,walk,3,2,3.104,1.448,98.25,114.51,8,Jonathan Partida,674476,Left,Roel Santos,661270,Left
2024-10-13,F,Foul,"rgba(170, 21, 11, 1.0)",True,False,walk,3,2,3.104,1.448,116.65,122.05,9,Jonathan Partida,674476,Left,Roel Santos,661270,Left
2024-10-13,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,walk,4,2,3.104,1.448,129.8,213.93,10,Jonathan Partida,674476,Left,Roel Santos,661270,Left
2024-10-13,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,walk,1,0,3.319,1.513,60.99,200.27,1,Carlos Bustamante,619854,Right,Isaac Rodriguez,665455,Right
2024-10-13,C,Called Strike,"rgba(170, 21, 11, 1.0)",True,False,walk,1,1,3.319,1.513,109.64,138.54,2,Carlos Bustamante,619854,Right,Isaac Rodriguez,665455,Right
2024-10-13,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,walk,2,1,3.319,1.513,65.81,215.82,3,Carlos Bustamante,619854,Right,Isaac Rodriguez,665455,Right
2024-10-13,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,walk,3,1,3.319,1.513,123.23,64.09,4,Carlos Bustamante,619854,Right,Isaac Rodriguez,665455,Right
2024-10-13,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,walk,4,1,3.319,1.513,117.53,205.45,5,Carlos Bustamante,619854,Right,Isaac Rodriguez,665455,Right
2024-10-13,F,Foul,"rgba(170, 21, 11, 1.0)",True,False,walk,0,1,3.371,1.535,101.31,174.35,1,Carlos Bustamante,619854,Right,Eric Filia,596107,Left
2024-10-13,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,walk,1,1,3.371,1.535,48.72,61.27,2,Carlos Bustamante,619854,Right,Eric Filia,596107,Left
2024-10-13,W,Swinging Strike (Blocked),"rgba(170, 21, 11, 1.0)",True,False,walk,1,2,3.371,1.535,112.27,235.14,3,Carlos Bustamante,619854,Right,Eric Filia,596107,Left
2024-10-13,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,walk,2,2,3.371,1.535,111.83,77.76,4,Carlos Bustamante,619854,Right,Eric Filia,596107,Left
2024-10-13,*B,Ball In Dirt,"rgba(39, 161, 39, 1.0)",False,True,walk,3,2,3.371,1.535,89.04,240.32,5,Carlos Bustamante,619854,Right,Eric Filia,596107,Left
2024-10-13,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,walk,4,2,3.371,1.535,58.36,194.61,6,Carlos Bustamante,619854,Right,Eric Filia,596107,Left
2024-10-13,F,Foul,"rgba(170, 21, 11, 1.0)",True,False,field_out,0,1,3.467,1.589,94.74,161.16,1,Carlos Bustamante,619854,Right,Yasmany Tomás,630111,Right
2024-10-13,X,"In play, out(s)","rgba(26, 86, 190, 1.0)",False,False,field_out,0,1,3.467,1.589,115.34,143.25,2,Carlos Bustamante,619854,Right,Yasmany Tomás,630111,Right
2024-10-13,H,Hit By Pitch,"rgba(39, 161, 39, 1.0)",False,True,hit_by_pitch,1,0,3.371,1.535,24.17,134.3,1,Fabian Cota,601978,Left,Mike Hart,678966,Left
2024-10-13,L,Foul Bunt,"rgba(170, 21, 11, 1.0)",True,False,sac_bunt,0,1,3.371,1.535,97.81,97.55,1,Fabian Cota,601978,Left,Juan Uriarte,660842,Right
2024-10-13,X,"In play, out(s)","rgba(26, 86, 190, 1.0)",False,False,sac_bunt,0,1,3.371,1.535,97.81,171.52,2,Fabian Cota,601978,Left,Juan Uriarte,660842,Right
2024-10-13,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,strikeout,1,0,3.411,1.565,54.41,80.58,1,Irving Machuca,685829,Right,Luis Alfonso Cruz,458501,Right
2024-10-13,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,strikeout,2,0,3.411,1.565,42.58,161.16,2,Irving Machuca,685829,Right,Luis Alfonso Cruz,458501,Right
2024-10-13,S,Swinging Strike,"rgba(170, 21, 11, 1.0)",True,False,strikeout,2,1,3.411,1.565,111.83,134.77,3,Irving Machuca,685829,Right,Luis Alfonso Cruz,458501,Right
2024-10-13,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,strikeout,3,1,3.411,1.565,58.36,202.62,4,Irving Machuca,685829,Right,Luis Alfonso Cruz,458501,Right
2024-10-13,C,Called Strike,"rgba(170, 21, 11, 1.0)",True,False,strikeout,3,2,3.411,1.565,94.3,153.15,5,Irving Machuca,685829,Right,Luis Alfonso Cruz,458501,Right
